,Brand,Model,Body,Color,Year,Fuel,Kilometers,Engine,Trasmission,Price,Gov
5402,Hyundai,Accent,Sedan,Silver,2011,Benzine,120000 to 139999,1600 CC,Automatic,175.0,Beni Suef
5403,Hyundai,Accent,Sedan,Blue- Navy Blue,1998,Benzine,140000 to 159999,1400 - 1500 CC,Manual,64.0,Qalyubia
5404,Hyundai,Accent,Sedan,Gray,2019,Benzine,10000 to 19999,1600 CC,Automatic,250.0,Cairo
5405,Hyundai,Accent,Sedan,Green,1998,Benzine,180000 to 199999,1000 - 1300 CC,Manual,83.0,Asyut
5406,Hyundai,Accent,Sedan,Other Color,2006,Benzine,20000 to 29999,1000 - 1300 CC,Manual,65.0,Suez
5407,Hyundai,Accent,Sedan,White,2017,Benzine,160000 to 179999,1600 CC,Automatic,225.0,Sharqia
5408,Hyundai,Accent,Sedan,Other Color,2010,Benzine,20000 to 29999,1600 CC,Manual,145.0,Alexandria
5409,Hyundai,Accent,Sedan,Gray,2006,Benzine,100000 to 119999,1000 - 1300 CC,Manual,87.0,Cairo
5410,Hyundai,Accent,Sedan,Black,2017,Benzine,100000 to 119999,1400 - 1500 CC,Automatic,227.0,Alexandria
5411,Hyundai,Accent,Sedan,Burgundy,2012,Benzine,180000 to 199999,1600 CC,Automatic,175.0,Cairo
5412,Hyundai,Accent,Sedan,Other Color,1998,Benzine,180000 to 199999,1400 - 1500 CC,Manual,60.0,Cairo
5413,Hyundai,Accent,Sedan,White,2000,Benzine,10000 to 19999,1400 - 1500 CC,Automatic,90.0,Dakahlia
5414,Hyundai,Accent,Sedan,Red,2011,Benzine,180000 to 199999,1600 CC,Automatic,150.0,Monufia
5415,Hyundai,Accent,Sedan,Other Color,2002,Benzine,10000 to 19999,1400 - 1500 CC,Manual,76.0,Fayoum
5416,Hyundai,Accent,Sedan,Green,2000,Benzine,10000 to 19999,1400 - 1500 CC,Manual,85.0,Monufia
5417,Hyundai,Accent,Sedan,Green,1998,Benzine,20000 to 29999,1400 - 1500 CC,Manual,69.0,Ismailia
5418,Hyundai,Accent,Sedan,Red,2000,Benzine,More than 200000,1400 - 1500 CC,Manual,73.0,Kafr al-Sheikh
5419,Hyundai,Accent,Sedan,Blue- Navy Blue,2006,Benzine,10000 to 19999,1400 - 1500 CC,Automatic,77.0,Kafr al-Sheikh
5420,Hyundai,Accent,Sedan,Red,2000,Benzine,160000 to 179999,1400 - 1500 CC,Manual,77.0,Giza
5421,Hyundai,Accent,Sedan,Silver,2001,Benzine,More than 200000,1000 - 1300 CC,Manual,64.0,Cairo
5422,Hyundai,Accent,Sedan,Silver,2000,Benzine,More than 200000,1400 - 1500 CC,Manual,65.0,Qalyubia
5423,Hyundai,Accent,Sedan,Silver,1999,Benzine,180000 to 199999,1400 - 1500 CC,Manual,65.0,Suez
5424,Hyundai,Accent,Sedan,White,2015,Benzine,70000 to 79999,1600 CC,Automatic,225.0,Gharbia
5425,Hyundai,Accent,Sedan,Black,2007,Benzine,140000 to 159999,1000 - 1300 CC,Manual,120.0,Cairo
5426,Hyundai,Accent,Sedan,Blue- Navy Blue,2001,Benzine,20000 to 29999,1000 - 1300 CC,Manual,65.0,Giza
5427,Hyundai,Accent,Sedan,Silver,2012,Benzine,80000 to 89999,1600 CC,Automatic,210.0,Cairo
5428,Hyundai,Accent,Sedan,Green,2006,Natural Gas,30000 to 39999,1000 - 1300 CC,Automatic,76.0,Ismailia
5429,Hyundai,Accent,Sedan,Silver,2015,Benzine,More than 200000,1600 CC,Automatic,220.0,Cairo
5430,Hyundai,Accent,Sedan,Blue- Navy Blue,2011,Benzine,120000 to 139999,1600 CC,Automatic,180.0,Cairo
5431,Hyundai,Accent,Sedan,White,2015,Benzine,100000 to 119999,1600 CC,Automatic,228.0,Cairo
5432,Hyundai,Accent,Sedan,Silver,2011,Benzine,120000 to 139999,1600 CC,Automatic,175.0,Alexandria
5433,Hyundai,Accent,Sedan,Burgundy,2011,Benzine,60000 to 69999,1600 CC,Manual,205.0,Cairo
5434,Hyundai,Accent,Sedan,Other Color,2000,Benzine,More than 200000,1000 - 1300 CC,Manual,68.0,Ismailia
5435,Hyundai,Accent,Sedan,Yellow,2000,Benzine,0 to 9999,1000 - 1300 CC,Manual,75.0,Cairo
5436,Hyundai,Accent,Sedan,Gray,1999,Benzine,0 to 9999,1400 - 1500 CC,Manual,58.0,Giza
5437,Hyundai,Accent,Sedan,Other Color,2000,Benzine,10000 to 19999,1400 - 1500 CC,Manual,72.5,Dakahlia
5438,Hyundai,Accent,Sedan,Black,2008,Benzine,10000 to 19999,1600 CC,Automatic,164.0,Monufia
5439,Hyundai,Accent,Sedan,Gold,2010,Benzine,180000 to 199999,1400 - 1500 CC,Automatic,130.0,Cairo
5440,Hyundai,Accent,Sedan,Other Color,1999,Benzine,30000 to 39999,1400 - 1500 CC,Manual,38.0,Matruh
5441,Hyundai,Accent,Sedan,Silver,2011,Benzine,160000 to 179999,1600 CC,Automatic,150.0,Alexandria
5442,Hyundai,Accent,Sedan,Blue- Navy Blue,2007,Benzine,140000 to 159999,1600 CC,Manual,135.0,Beheira
5443,Hyundai,Accent,Sedan,Silver,2016,Benzine,140000 to 159999,1600 CC,Automatic,210.0,Sharqia
5444,Hyundai,Accent,Sedan,Other Color,2009,Benzine,140000 to 159999,1600 CC,Automatic,130.0,Cairo
5445,Hyundai,Accent,Sedan,Brown,2017,Benzine,80000 to 89999,1600 CC,Automatic,230.0,Qena
5446,Hyundai,Accent,Sedan,Blue- Navy Blue,2008,Benzine,140000 to 159999,1600 CC,Automatic,160.0,Beheira
5447,Hyundai,Accent,Sedan,Silver,2010,Benzine,180000 to 199999,1600 CC,Manual,125.0,Giza
5448,Hyundai,Accent,Sedan,Gold,2000,Benzine,160000 to 179999,1600 CC,Manual,68.0,Asyut
5449,Hyundai,Accent,Sedan,Orange,2010,Benzine,100000 to 119999,1600 CC,Manual,115.0,Cairo
5450,Hyundai,Accent,Sedan,Silver,2016,Benzine,60000 to 69999,1600 CC,Automatic,240.0,Giza
5451,Hyundai,Accent,Sedan,Silver,2021,Benzine,10000 to 19999,1600 CC,Automatic,280.0,Cairo
5452,Hyundai,Accent,Sedan,Blue- Navy Blue,2000,Benzine,100000 to 119999,1000 - 1300 CC,Manual,70.0,Damietta
5453,Hyundai,Accent,Sedan,Other Color,2006,Benzine,More than 200000,1000 - 1300 CC,Manual,75.0,Damietta
5454,Hyundai,Accent,Sedan,White,2005,Benzine,More than 200000,1400 - 1500 CC,Manual,62.0,Cairo
5455,Hyundai,Accent,Sedan,Blue- Navy Blue,2008,Benzine,90000 to 99999,1600 CC,Automatic,142.0,Minya
5456,Hyundai,Accent,Sedan,Black,2011,Benzine,0 to 9999,1600 CC,Manual,145.0,Sharqia
5457,Hyundai,Accent,Sedan,Gray,2010,Benzine,80000 to 89999,1600 CC,Manual,110.0,Ismailia
5458,Hyundai,Accent,Sedan,Blue- Navy Blue,2017,Benzine,120000 to 139999,1600 CC,Automatic,240.0,Cairo
5459,Hyundai,Accent,Sedan,Silver,2004,Benzine,More than 200000,1000 - 1300 CC,Manual,70.0,Gharbia
5460,Hyundai,Accent,Sedan,Red,2012,Benzine,140000 to 159999,1600 CC,Automatic,180.0,Giza
5461,Hyundai,Accent,Sedan,Gray,1999,Benzine,180000 to 199999,1000 - 1300 CC,Manual,80.0,Asyut
