Brand,Model,Color,Fuel,Kilometers,Trasmission,Price,Gov,Car Age
Daewoo,Nubira 2,Dark red,Benzine,22.0,Manual,150.0,Alexandria,17.0
Fiat,128,White,Benzine,0.0,Manual,25.0,Alexandria,35.0
Opel,Astra,Black,Benzine,20.0,Automatic,125.0,Hurghada,23.0
Mercedes,C 180,Dark blue,Benzine,20.0,Automatic,600.0,Maadi,14.0
Kia,Cerato Koup,Black,Benzine,20.0,Automatic,370.0,Mokattam,10.0
Suzuki,Maruti,Blue,Benzine,5.0,Manual,69.0,El Haram,16.0
Mazda,929,Bronze,Benzine,0.0,Manual,65.0,Damanhur,41.0
Kia,Grand Cerato,Silver,Benzine,1.0,Automatic,800.0,Banha,1.0
Fiat,Tipo,White,Benzine,2.0,Automatic,725.0,Tanta,1.0
Hyundai,I10,Red,Benzine,7.0,Manual,275.0,Alexandria,12.0
Chevrolet,Aveo,Silver,Benzine,16.0,Manual,150.0,Qalyubia,13.0
Peugeot,3008,Black,Benzine,10.0,Automatic,450.0,Nasr city,8.0
Daewoo,Nubira 1,Olive,Benzine,12.0,Automatic,125.0,El-Arish,26.0
Ford,Transit,White,Natural Gas,25.0,Manual,710.0,Mokattam,4.0
Volkswagen,Pointer,Red,Benzine,20.0,Manual,90.0,Nasr city,19.0
Peugeot,3008,Silver,Benzine,4.0,Automatic,950.0,Cairo,4.0
Kia,Picanto,Silver,Benzine,6.0,Automatic,385.0,El Mahalla,7.0
Lada,Granta,Red,Benzine,0.0,Manual,290.0,Red Sea,1.0
Renault,Logan,Black,Benzine,27.0,Manual,165.0,Mohandessin,13.0
Chevrolet,Pickup,Green,Benzine,0.0,Manual,120.0,Cairo,28.0
Chevrolet,Optra,Light grey,Benzine,27.0,Automatic,260.0,Giza,13.0
Mercedes,200,Black,Benzine,0.0,Automatic,3600.0,Cairo,1.0
Byd,L3,Black,Benzine,14.0,Manual,183.0,Cairo,6.0
Mitsubishi,Lancer Puma,Blue,Benzine,19.0,Automatic,330.0,Damietta,16.0
Kia,Sportage,Silver,Benzine,3.0,Automatic,1100.0,Cairo,3.0
Nissan,Sunny,Silver,Benzine,16.0,Automatic,300.0,Cairo,4.0
Suzuki,Maruti,Red,Benzine,6.0,Manual,82.0,Kafr El Zayat,16.0
Hyundai,Avante,Silver,Benzine,19.0,Automatic,390.0,Shibin el Kom,16.0
Ford,Kuga,Dark red,Benzine,13.0,Automatic,850.0,Damietta,5.0
Fiat,132,Silver,Benzine,0.0,Manual,27.0,Tanta,47.0
Renault,Optima,White,Benzine,20.0,Manual,65.0,Faiyum,26.0
Nissan,Sunny,Red,Benzine,18.0,Automatic,335.0,Beni Suef,8.0
Toyota,Corolla,White,Benzine,18.0,Automatic,420.0,El Mahalla,14.0
Kia,Cerato,Black,Benzine,22.0,Automatic,410.0,Cairo,8.0
Lada,2103,Gold,Benzine,5.0,Automatic,84.0,Alexandria,14.0
Chevrolet,Lanos,Red,Benzine,0.0,Manual,180.0,Kafr el-Sheikh,10.0
Nissan,Tiida,Light grey,Benzine,23.0,Automatic,220.0,Minya Al Qamh,16.0
Skoda,Felicia,Dark green,Benzine,40.0,Manual,55.0,Mokattam,26.0
Suzuki,Swift Dzire || Dzire,Light grey,Benzine,1.0,Automatic,420.0,Obour City,1.0
Mercedes,E 230,Black,Benzine,16.0,Automatic,840.0,Heliopolis,15.0
Hyundai,Elantra HD,Gray,Benzine,14.0,Automatic,400.0,Shobra,4.0
Mitsubishi,Lancer EX Shark,Black,Benzine,8.0,Automatic,450.0,Heliopolis,8.0
Lada,Samara,White,Benzine,15.0,Manual,35.0,Agamy,32.0
Hyundai,Tucson,Red,Benzine,6.0,Automatic,900.0,Maadi,4.0
Proton,Waja,Black,Benzine,19.0,Automatic,195.0,Dokki,13.0
Renault,Kadjar,White,Benzine,9.0,Automatic,725.0,Hurghada,5.0
MG,6,Red,Benzine,1.0,Automatic,790.0,Maadi,1.0
MG,5,Blue,Benzine,5.0,Automatic,550.0,Maadi,2.0
Fiat,127,Green,Benzine,0.0,Manual,35.0,Cairo,40.0
Fiat,128,White,Benzine,0.0,Manual,27.0,Ashmoun,36.0
Hyundai,H1,White,Benzine,18.0,Automatic,350.0,Giza,9.0
Renault,Logan,Brown,Benzine,9.0,Automatic,380.0,Damietta,4.0
Chevrolet,Optra,Silver,Benzine,1.0,Automatic,470.0,Al Shorouk,0.0
Chevrolet,Cruze,Silver,Benzine,30.0,Automatic,250.0,Giza,13.0
Peugeot,206,White,Benzine,15.0,Manual,140.0,Heliopolis,14.0
Hyundai,Elantra CN7,Dark green,Benzine,4.0,Automatic,730.0,Tanta,1.0
Seat,Ibiza,Dark blue,Benzine,3.0,Automatic,850.0,Mohandessin,1.0
Dodge,Dart,Black,Benzine,16.0,Automatic,380.0,El Haram,10.0
Volkswagen,Bora,Eggplant,Benzine,0.0,Manual,100.0,Cairo,22.0
Skoda,Favorit,Red,Benzine,0.0,Manual,45.0,Qalyubia,29.0
Mitsubishi,Lancer EX Shark,Silver,Benzine,12.0,Automatic,430.0,Ashmoun,7.0
Kia,Xceed,Silver,Benzine,0.0,Automatic,1100.0,Nasr city,1.0
Kia,Soul,Beige,Benzine,8.0,Automatic,445.0,Faiyum,12.0
Lada,Granta,Red,Benzine,24.0,Manual,200.0,6 October,4.0
Nissan,Sunny,Beige,Benzine,5.0,Automatic,350.0,Al Shorouk,10.0
Renault,Sandero Step Way,Dark blue,Benzine,4.0,Automatic,450.0,Alexandria,2.0
Chevrolet,Aveo,Dark blue,Benzine,17.0,Automatic,300.0,Helwan,7.0
Canghe || Changhe,M50 || M 50,White,Benzine,6.0,Manual,290.0,Sadat City,3.0
Mercedes,200,Dark blue,Benzine,15.0,Manual,90.0,Giza,40.0
Renault,Sandero,Silver,Benzine,7.0,Manual,210.0,Alexandria,11.0
Byd,F3,White,Benzine,6.0,Manual,285.0,Dokki,2.0
Proton,Waja,Black,Benzine,23.0,Manual,120.0,Maadi,17.0
Hyundai,Elantra CN7,Red,Benzine,1.0,Automatic,850.0,Kafr el-Sheikh,2.0
Toyota,Corolla,Gold,Benzine,6.0,Automatic,880.0,Cairo,3.0
Fiat,Shahin,Dark red,Benzine,14.0,Manual,55.0,Sohag,28.0
Hyundai,Matrix,Silver,Benzine,19.0,Automatic,300.0,Kafr el-Sheikh,20.0
Nissan,Juke,Petroleum,Benzine,13.0,Automatic,470.0,Tanta,10.0
Hyundai,Elantra CN7,Light grey,Benzine,4.0,Automatic,850.0,Heliopolis,2.0
Fiat,128,White,Benzine,0.0,Manual,30.0,Kafr el-Sheikh,32.0
Chevrolet,Optra,Silver,Benzine,12.0,Automatic,265.0,El Haram,8.0
Geely,Emgrand 7,White,Benzine,26.0,Manual,158.0,Ain Shams,9.0
Jeep,Cherokee,Silver,Benzine,34.0,Manual,220.0,Red Sea,22.0
Renault,Duster,Blue,Benzine,0.0,Automatic,875.0,Tagamo3 - New Cairo,1.0
Chery,Arrizo 5,Dark blue,Benzine,2.0,Automatic,385.0,Alexandria,1.0
Fiat,Tipo,Gray,Benzine,2.0,Automatic,650.0,Tagamo3 - New Cairo,2.0
Chevrolet,Lanos,Dark red,Benzine,6.0,Manual,135.0,Imbaba,5.0
Chery,Tiggo 7,Gray,Benzine,1.0,Automatic,725.0,Tagamo3 - New Cairo,1.0
Kia,Cerato,Dark red,Benzine,6.0,Automatic,690.0,Quesna,5.0
Seat,Ibiza,White,Benzine,1.0,Automatic,860.0,Sharqia,1.0
Kia,Carens,Black,Benzine,21.0,Automatic,380.0,Sadat City,12.0
Hyundai,Verna,White,Benzine,40.0,Manual,145.0,El Haram,9.0
Mitsubishi,Lancer Puma,Dark blue,Benzine,0.0,Automatic,270.0,Giza,16.0
Nissan,Sunny,Silver,Benzine,6.0,Automatic,450.0,Sadat City,2.0
Toyota,Corolla,Beige,Benzine,2.0,Automatic,840.0,Suez,2.0
Mitsubishi,Lancer Puma,Gray,Benzine,7.0,Manual,350.0,Tanta,14.0
Toyota,Corolla,Gray,Benzine,1.0,Automatic,900.0,Zagazig,1.0
Proton,Gen 2,Blue,Benzine,30.0,Manual,165.0,Cairo,16.0
Chevrolet,Optra,Petroleum,Benzine,7.0,Automatic,440.0,6 October,2.0
Faw,Vita,Black,Benzine,10.0,Manual,100.0,Madinaty,12.0
Fiat,128,Beige,Benzine,0.0,Manual,38.0,Suez,41.0
Hyundai,Verna,Bronze,Benzine,3.0,Automatic,350.0,El-Arish,8.0
Hyundai,Elantra MD,Black,Benzine,11.0,Automatic,538.0,Obour City,7.0
Skoda,Octavia A5,Red,Benzine,15.0,Automatic,360.0,Giza,17.0
Volkswagen,Golf 2,White,Benzine,0.0,Manual,60.0,Agamy,34.0
