Brand,Model,Fuel,Car Age,Trasmission,Kilometers Group,Gov,Price,grouping
BMW,316,Benzine,9.0,Automatic,15.0,Maadi,470.0,BMW 316 Benzine Automatic 9.0 15.0
BMW,316,Benzine,9.0,Automatic,20.0,Port Said,700.0,BMW 316 Benzine Automatic 9.0 20.0
BMW,316,Benzine,10.0,Automatic,20.0,Tagamo3 - New Cairo,2600.0,BMW 316 Benzine Automatic 10.0 20.0
BMW,316,Benzine,11.0,Automatic,10.0,Cairo,400.0,BMW 316 Benzine Automatic 11.0 10.0
BMW,316,Benzine,12.0,Automatic,10.0,Giza,420.0,BMW 316 Benzine Automatic 12.0 10.0
BMW,316,Benzine,12.0,Automatic,15.0,Heliopolis,550.0,BMW 316 Benzine Automatic 12.0 15.0
BMW,316,Benzine,12.0,Automatic,15.0,Suez,520.0,BMW 316 Benzine Automatic 12.0 15.0
BMW,316,Benzine,12.0,Automatic,20.0,Cairo,500.0,BMW 316 Benzine Automatic 12.0 20.0
BMW,316,Benzine,12.0,Automatic,20.0,Nasr city,450.0,BMW 316 Benzine Automatic 12.0 20.0
BMW,316,Benzine,13.0,Automatic,10.0,Shibin el Kom,600.0,BMW 316 Benzine Automatic 13.0 10.0
BMW,316,Benzine,13.0,Automatic,15.0,Tagamo3 - New Cairo,550.0,BMW 316 Benzine Automatic 13.0 15.0
BMW,316,Benzine,13.0,Manual,15.0,Alexandria,680.0,BMW 316 Benzine Manual 13.0 15.0
BMW,316,Benzine,15.0,Manual,15.0,10th of Ramadan,370.0,BMW 316 Benzine Manual 15.0 15.0
BMW,316,Benzine,15.0,Manual,20.0,Alexandria,400.0,BMW 316 Benzine Manual 15.0 20.0
BMW,316,Benzine,15.0,Manual,25.0,Cairo,370.0,BMW 316 Benzine Manual 15.0 25.0
BMW,316,Benzine,15.0,Manual,25.0,Zagazig,370.0,BMW 316 Benzine Manual 15.0 25.0
BMW,316,Benzine,15.0,Manual,30.0,Zagazig,370.0,BMW 316 Benzine Manual 15.0 30.0
BMW,316,Benzine,16.0,Manual,20.0,Tagamo3 - New Cairo,450.0,BMW 316 Benzine Manual 16.0 20.0
BMW,316,Benzine,16.0,Manual,25.0,Tagamo3 - New Cairo,370.0,BMW 316 Benzine Manual 16.0 25.0
BMW,316,Benzine,17.0,Manual,15.0,Cairo,320.0,BMW 316 Benzine Manual 17.0 15.0
BMW,316,Benzine,17.0,Manual,20.0,Shibin el Kom,372.5,BMW 316 Benzine Manual 17.0 20.0
BMW,316,Benzine,17.0,Manual,25.0,Shobra,380.0,BMW 316 Benzine Manual 17.0 25.0
BMW,316,Benzine,17.0,Manual,30.0,Hurghada,365.0,BMW 316 Benzine Manual 17.0 30.0
BMW,316,Benzine,19.0,Manual,25.0,Port Said,350.0,BMW 316 Benzine Manual 19.0 25.0
BMW,316,Benzine,22.0,Manual,20.0,Cairo,490.0,BMW 316 Benzine Manual 22.0 20.0
BMW,316,Benzine,23.0,Manual,5.0,Al Shorouk,365.0,BMW 316 Benzine Manual 23.0 5.0
BMW,316,Benzine,26.0,Automatic,25.0,Cairo,180.0,BMW 316 Benzine Automatic 26.0 25.0
BMW,316,Benzine,27.0,Automatic,20.0,Alexandria,200.0,BMW 316 Benzine Automatic 27.0 20.0
