Brand,Model,Body,Color,Fuel,Kilometers,Engine,Trasmission,Price,Gov,new,Car Age
Hyundai,Accent,Sedan,Silver,Benzine,0,1.5,Manual,69.0,Fayoum,0,24
Hyundai,Accent,Sedan,Black,Benzine,8,1.6,Automatic,223.0,Alexandria,0,7
Hyundai,Accent,Sedan,Other Color,Benzine,11,1.6,Automatic,140.0,Alexandria,0,11
Hyundai,Accent,Sedan,Silver,Benzine,11,1.6,Manual,150.0,Alexandria,0,13
Hyundai,Accent,Sedan,White,Benzine,1,1.5,Automatic,70.0,Cairo,0,27
Hyundai,Accent,Sedan,Red,Benzine,5,1.2,Manual,90.0,Alexandria,0,17
Hyundai,Accent,Sedan,Silver,Benzine,10,1.2,Manual,56.0,Cairo,0,23
Hyundai,Accent,Sedan,Red,Benzine,9,1.6,Automatic,193.0,Qalyubia,0,11
Hyundai,Accent,Sedan,Other Color,Benzine,1,1.5,Manual,78.0,Giza,0,24
Hyundai,Accent,Sedan,Gold,Benzine,13,1.6,Manual,65.0,Cairo,0,24
Hyundai,Accent,Sedan,Silver,Benzine,0,1.6,Manual,170.0,Cairo,0,11
Hyundai,Accent,Sedan,Gold,Benzine,14,1.6,Manual,132.0,Gharbia,0,12
Hyundai,Accent,Sedan,Other Color,Benzine,15,1.5,Manual,68.0,Minya,0,28
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,11,1.5,Automatic,158.0,Alexandria,0,13
Hyundai,Accent,Sedan,Red,Benzine,11,1.6,Manual,130.0,Cairo,0,11
Hyundai,Accent,Sedan,Gray,Benzine,12,1.6,Automatic,240.0,Giza,0,5
Hyundai,Accent,Sedan,Other Color,Benzine,13,1.6,Automatic,155.0,Alexandria,0,12
Hyundai,Accent,Sedan,Red,Benzine,15,1.6,Automatic,167.0,Sharqia,0,12
Hyundai,Accent,Sedan,Other Color,Benzine,14,1.2,Manual,86.0,Port Said,0,21
Hyundai,Accent,Sedan,Silver,Benzine,1,1.6,Manual,135.0,Cairo,0,13
Hyundai,Accent,Sedan,Other Color,Benzine,13,1.6,Manual,135.0,Cairo,0,12
Hyundai,Accent,Sedan,Gold,Benzine,11,1.6,Manual,145.0,Sharqia,0,13
Hyundai,Accent,Sedan,Gold,Benzine,14,1.5,Automatic,72.0,Cairo,0,25
Hyundai,Accent,Sedan,Black,Benzine,15,1.6,Automatic,144.5,Cairo,0,15
Hyundai,Accent,Sedan,Other Color,Benzine,1,1.2,Manual,64.0,Gharbia,0,25
Hyundai,Accent,Sedan,Gray,Benzine,11,1.5,Automatic,239.0,Giza,0,7
Hyundai,Accent,Sedan,Burgundy,Benzine,15,1.6,Manual,128.0,Cairo,0,13
Hyundai,Accent,Sedan,Burgundy,Benzine,1,1.6,Automatic,177.0,Giza,0,11
Hyundai,Accent,Sedan,Silver,Benzine,10,1.2,Manual,62.0,Qalyubia,0,17
Hyundai,Accent,Sedan,White,Benzine,15,1.2,Manual,60.0,Cairo,0,18
