Brand,Model,Body,Color,Fuel,Kilometers,Engine,Trasmission,Price,Gov,new,Car Age
Hyundai,Verna,,Cyan,Benzine,23,2.5,Automatic,170.0,Cairo,1,16
Chevrolet,Optra,,Gold,Benzine,6,2.5,Automatic,100.0,El Haram,1,2
Hyundai,Verna,,Black,Benzine,30,2.5,Manual,140.0,El Marg,1,17
Hyundai,Avante,,Light grey,Benzine,9,2.5,Automatic,210.0,Qalyubia,1,12
Chevrolet,Optra,,Dark red,Benzine,10,2.5,Automatic,290.0,Helwan,1,6
Fiat,Tipo,,Red,Benzine,5,2.5,Manual,400.0,Qalyubia,1,3
Fiat,Siena,,Black,Benzine,21,2.5,Manual,65.0,Giza,1,21
Fiat,127,,White,Benzine,0,2.5,Manual,20.0,Alexandria,1,40
Hyundai,Verna,,Silver,Benzine,20,2.5,Manual,165.0,El Salam City,1,13
Hyundai,Matrix,,Green,Natural Gas,19,2.5,Manual,235.0,Kom Hamada,1,17
Chevrolet,Optra,,Dark red,Benzine,10,2.5,Automatic,250.0,Cairo,1,6
Hyundai,Excel,,Red,Benzine,20,2.5,Manual,95.0,Shibin el Kom,1,26
Chevrolet,Optra,,Silver,Benzine,4,2.5,Automatic,340.0,Imbaba,1,2
Chevrolet,Lanos,,Dark red,Benzine,16,2.5,Manual,150.0,El Minya,1,13
Hyundai,Verna,,Champagne,Benzine,0,2.5,Manual,245.0,Alexandria,1,8
Chevrolet,Lanos,,Gray,Benzine,17,2.5,Manual,153.0,Cairo,1,12
Fiat,Tipo,,Silver,Benzine,2,2.5,Automatic,600.0,Qalyubia,1,1
Hyundai,Elantra HD,,Silver,Benzine,5,2.5,Automatic,410.0,10th of Ramadan,1,4
Hyundai,Atos,,Green,Benzine,14,2.5,Manual,67.0,El Minya,1,35
Fiat,127,,Red,Benzine,0,2.5,Manual,22.0,Beheira,1,40
Chevrolet,Lanos,,Dark red,Benzine,6,2.5,Manual,190.0,Alexandria,1,9
Hyundai,Elantra HD,,Silver,Benzine,11,2.5,Automatic,440.0,Shobra,1,3
Hyundai,Elantra,,Silver,Benzine,7,2.5,Automatic,635.0,Suez,1,4
Fiat,Polonez,,White,Benzine,0,2.5,Manual,30.0,Dakahlia,1,34
Hyundai,Elantra HD,,Bronze,Benzine,5,2.5,Automatic,450.0,El Haram,1,2
Chevrolet,N200,,Red,Benzine,23,2.5,Manual,110.0,6 October,1,13
Chevrolet,Optra,,Petroleum,Benzine,11,2.5,Automatic,385.0,Damanhur,1,5
Fiat,128,,White,Benzine,0,2.5,Manual,22.0,Cairo,1,39
Chevrolet,Optra,,Petroleum,Benzine,18,2.5,Automatic,265.0,Nasr city,1,6
Fiat,Tempra,,Green,Benzine,0,2.5,Manual,58.0,Alexandria,1,33
Hyundai,I10,,Blue,Benzine,16,2.5,Manual,175.0,Alexandria,1,14
Chevrolet,Lanos,,Silver,Benzine,15,2.5,Manual,145.0,Damietta,1,13
Hyundai,Accent RB,,Eggplant,Benzine,1,2.5,Automatic,460.0,Cairo,1,1
Fiat,128,,Petroleum,Benzine,0,2.5,Automatic,24.0,Alexandria,1,37
Chevrolet,Aveo,,Red,Benzine,3,2.5,Automatic,345.0,Nasr city,1,3
Hyundai,Verna,,Silver,Natural Gas,20,2.5,Manual,220.0,Ismailia,1,10
Hyundai,Elantra MD,,Black,Benzine,27,2.5,Automatic,450.0,Cairo,1,8
Chevrolet,N200,,Red,Benzine,0,2.5,Manual,110.0,6 October,1,13
Hyundai,Elantra HD,,Silver,Benzine,8,2.5,Automatic,380.0,6 October,1,4
Hyundai,Accent,,Cyan,Benzine,14,2.5,Automatic,295.0,Tagamo3 - New Cairo,1,12
Fiat,Petra,,Black,Benzine,20,2.5,Manual,110.0,Tagamo3 - New Cairo,1,20
Hyundai,Elantra MD,,White,Benzine,12,2.5,Automatic,350.0,Mansoura,1,11
Fiat,128,,Dark red,Benzine,10,2.5,Manual,25.0,El Senbellawein,1,44
Chevrolet,Lanos,,Dark red,Benzine,23,2.5,Manual,135.0,Beni Suef,1,13
Hyundai,Accent RB,,Light grey,Benzine,4,2.5,Automatic,420.0,6 October,1,2
Fiat,Tipo,,Silver,Benzine,4,2.5,Automatic,500.0,Giza,1,2
