Brand,Model,Body,Color,Year,Fuel,Kilometers,Engine,Trasmission,Price,Gov,new
Hyundai,Accent,Sedan,Burgundy,2012.0,Benzine,180000 to 199999,1600 CC,Automatic,175.0,Cairo,0
Hyundai,Accent,Sedan,Other Color,1998.0,Benzine,180000 to 199999,1400 - 1500 CC,Manual,60.0,Cairo,0
Hyundai,Accent,Sedan,White,2000.0,Benzine,10000 to 19999,1400 - 1500 CC,Automatic,90.0,Dakahlia,0
Hyundai,Accent,Sedan,Red,2011.0,Benzine,180000 to 199999,1600 CC,Automatic,150.0,Monufia,0
Hyundai,Accent,Sedan,Other Color,2002.0,Benzine,10000 to 19999,1400 - 1500 CC,Manual,76.0,Fayoum,0
Hyundai,Accent,Sedan,Green,2000.0,Benzine,10000 to 19999,1400 - 1500 CC,Manual,85.0,Monufia,0
Hyundai,Accent,Sedan,Green,1998.0,Benzine,20000 to 29999,1400 - 1500 CC,Manual,69.0,Ismailia,0
Hyundai,Accent,Sedan,Red,2000.0,Benzine,More than 200000,1400 - 1500 CC,Manual,73.0,Kafr al-Sheikh,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2006.0,Benzine,10000 to 19999,1400 - 1500 CC,Automatic,77.0,Kafr al-Sheikh,0
Hyundai,Accent,Sedan,Red,2000.0,Benzine,160000 to 179999,1400 - 1500 CC,Manual,77.0,Giza,0
Hyundai,Accent,Sedan,Silver,2001.0,Benzine,More than 200000,1000 - 1300 CC,Manual,64.0,Cairo,0
Hyundai,Accent,Sedan,Silver,2000.0,Benzine,More than 200000,1400 - 1500 CC,Manual,65.0,Qalyubia,0
Hyundai,Accent,Sedan,Silver,1999.0,Benzine,180000 to 199999,1400 - 1500 CC,Manual,65.0,Suez,0
Hyundai,Accent,Sedan,White,2015.0,Benzine,70000 to 79999,1600 CC,Automatic,225.0,Gharbia,0
Hyundai,Accent,Sedan,Black,2007.0,Benzine,140000 to 159999,1000 - 1300 CC,Manual,120.0,Cairo,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2001.0,Benzine,20000 to 29999,1000 - 1300 CC,Manual,65.0,Giza,0
Hyundai,Accent,Sedan,Silver,2012.0,Benzine,80000 to 89999,1600 CC,Automatic,210.0,Cairo,0
Hyundai,Accent,Sedan,Green,2006.0,Natural Gas,30000 to 39999,1000 - 1300 CC,Automatic,76.0,Ismailia,0
Hyundai,Accent,Sedan,Silver,2015.0,Benzine,More than 200000,1600 CC,Automatic,220.0,Cairo,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2011.0,Benzine,120000 to 139999,1600 CC,Automatic,180.0,Cairo,0
Hyundai,Accent,Sedan,White,2015.0,Benzine,100000 to 119999,1600 CC,Automatic,228.0,Cairo,0
Hyundai,Accent,Sedan,Silver,2011.0,Benzine,120000 to 139999,1600 CC,Automatic,175.0,Alexandria,0
Hyundai,Accent,Sedan,Burgundy,2011.0,Benzine,60000 to 69999,1600 CC,Manual,205.0,Cairo,0
Hyundai,Accent,Sedan,Other Color,2000.0,Benzine,More than 200000,1000 - 1300 CC,Manual,68.0,Ismailia,0
Hyundai,Accent,Sedan,Yellow,2000.0,Benzine,0 to 9999,1000 - 1300 CC,Manual,75.0,Cairo,0
Hyundai,Accent,Sedan,Gray,1999.0,Benzine,0 to 9999,1400 - 1500 CC,Manual,58.0,Giza,0
Hyundai,Accent,Sedan,Other Color,2000.0,Benzine,10000 to 19999,1400 - 1500 CC,Manual,72.5,Dakahlia,0
Hyundai,Accent,Sedan,Black,2008.0,Benzine,10000 to 19999,1600 CC,Automatic,164.0,Monufia,0
Hyundai,Accent,Sedan,Gold,2010.0,Benzine,180000 to 199999,1400 - 1500 CC,Automatic,130.0,Cairo,0
Hyundai,Accent,Sedan,Other Color,1999.0,Benzine,30000 to 39999,1400 - 1500 CC,Manual,38.0,Matruh,0
Hyundai,Accent,Sedan,Silver,2011.0,Benzine,160000 to 179999,1600 CC,Automatic,150.0,Alexandria,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2007.0,Benzine,140000 to 159999,1600 CC,Manual,135.0,Beheira,0
Hyundai,Accent,Sedan,Silver,2016.0,Benzine,140000 to 159999,1600 CC,Automatic,210.0,Sharqia,0
Hyundai,Accent,Sedan,Other Color,2009.0,Benzine,140000 to 159999,1600 CC,Automatic,130.0,Cairo,0
Hyundai,Accent,Sedan,Brown,2017.0,Benzine,80000 to 89999,1600 CC,Automatic,230.0,Qena,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2008.0,Benzine,140000 to 159999,1600 CC,Automatic,160.0,Beheira,0
Hyundai,Accent,Sedan,Silver,2010.0,Benzine,180000 to 199999,1600 CC,Manual,125.0,Giza,0
Hyundai,Accent,Sedan,Gold,2000.0,Benzine,160000 to 179999,1600 CC,Manual,68.0,Asyut,0
Hyundai,Accent,Sedan,Orange,2010.0,Benzine,100000 to 119999,1600 CC,Manual,115.0,Cairo,0
Hyundai,Accent,Sedan,Silver,2016.0,Benzine,60000 to 69999,1600 CC,Automatic,240.0,Giza,0
Hyundai,Accent,Sedan,Silver,2021.0,Benzine,10000 to 19999,1600 CC,Automatic,280.0,Cairo,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2000.0,Benzine,100000 to 119999,1000 - 1300 CC,Manual,70.0,Damietta,0
Hyundai,Accent,Sedan,Other Color,2006.0,Benzine,More than 200000,1000 - 1300 CC,Manual,75.0,Damietta,0
Hyundai,Accent,Sedan,White,2005.0,Benzine,More than 200000,1400 - 1500 CC,Manual,62.0,Cairo,0
